"Cluster","Total_Points","Centroid_Lat","Centroid_Lng","Avg_Severity","Avg_Rank","Pct_Traffic_Signal","Pct_Junction","Pct_Crossing","Pct_Station","Peak_Hour","Weekend_Prop"
244,132,28.5275253288392,-81.3800445119362,2,1,100,0,100,0,19,0
163,131,28.525063445142,-81.3812288134607,2,1,100,0,100,0,13,0
91,128,28.5286132730181,-81.4050747624323,2,1,0,0,100,0,7,100
599,126,28.503778913824,-81.383694325054,2,1,0,0,0,0,0,100
99,125,28.5100305579869,-81.4218843476483,2,1,0,0,0,0,7,100
181,125,28.55451028,-81.4017024,3,1,0,0,0,0,8,0
370,125,28.506267232,-81.407622528,2,1,0,0,100,0,9,0
451,125,28.5089650546539,-81.4084856104884,2,1,0,0,0,0,22,0
62,124,28.5479890806452,-81.3976428870968,3,1,0,0,0,0,8,0
351,124,28.5199115744225,-81.3815850536971,2,1,0,0,100,0,12,0
88,123,28.5118380415483,-81.3861736092585,2,1,100,0,100,0,4,100
174,123,28.5304770563065,-81.3782025695461,2,1,100,0,100,0,20,0
479,123,28.4312526066667,-81.4025389557724,2,2,0,0,0,0,13,0
482,123,28.5174433739837,-81.4056406178862,2,1,0,0,0,100,16,100
587,123,28.4396287042276,-81.4026701021138,2,2,0,0,0,0,15,0
624,123,28.4821314697643,-81.4230040810903,2,1,0,0,100,0,17,100
378,122,28.4845143046053,-81.4186210472699,2,1,0,0,0,0,9,0
644,122,28.4335149836066,-81.4377031967213,2,1,0,0,100,0,18,100
4,120,28.5232236889763,-81.3662883914664,2,1,100,0,100,0,20,0
311,120,28.4901992087337,-81.4185563676656,2,1,0,0,0,0,8,100
408,120,28.4324136916667,-81.4022370666667,2,2,0,0,0,0,14,0
15,119,28.5115402073826,-81.3984937542854,2,1,100,0,100,0,20,0
284,119,28.5338442259865,-81.3612220599395,2,1,0,0,100,0,9,0
329,119,28.5107543613445,-81.3887445630252,2,1,100,0,100,0,4,0
610,119,28.5080997651079,-81.4246529538848,2,1,0,0,0,0,0,0
171,118,28.5233627203729,-81.3954200869218,2,1,0,0,100,0,19,0
545,118,28.4660310847458,-81.4013582457627,2,2,0,0,0,0,16,0
620,118,28.4736012711864,-81.4004501949153,2,2,0,0,0,0,14,100
356,117,28.5174511794872,-81.4247601538462,2,1,0,0,100,0,9,100
434,117,28.4471187975474,-81.4047538143832,2,2,0,0,0,0,16,0
576,117,28.5093994105384,-81.4131143165055,2,1,0,0,0,0,23,0
303,116,28.5335575502946,-81.400519318414,2,1,0,0,100,0,7,0
355,116,28.5059415939571,-81.3931350674504,2,1,0,0,100,0,10,0
585,116,28.5261829913793,-81.4207724396552,2,1,0,0,0,100,16,0
263,115,28.5507425304348,-81.4033563391304,3,1,0,0,0,0,7,0
472,115,28.4989024379912,-81.4165202915105,2,1,0,0,0,100,16,0
494,115,28.5153052724994,-81.4018296824008,2,1,0,0,0,100,16,0
635,115,28.443525626087,-81.402211,2,2,0,0,100,0,15,0
30,114,28.5031941058176,-81.4057044069759,2,1,100,0,100,0,5,0
354,114,28.5217414588976,-81.3811102232342,2,1,100,0,100,0,4,0
476,114,28.4449119035088,-81.4024850789474,2,2,0,0,0,0,16,0
404,112,28.4973968667958,-81.417667783757,2,1,100,0,100,0,21,0
537,112,28.4469003928571,-81.4015626696429,2,2,0,0,100,0,17,100
584,112,28.5148036428571,-81.3872471517857,2,1,0,0,0,100,17,0
57,111,28.5507454954955,-81.4033736216216,3,1,0,0,0,0,7,0
306,110,28.5226118545455,-81.3928116181818,2,1,0,0,100,0,8,100
406,110,28.5201225,-81.3588902272727,2,1,0,0,100,0,11,0
590,110,28.4908549150245,-81.3983390954084,2,1,0,0,0,0,23,0
608,110,28.5188803599107,-81.3953446363279,2,1,0,0,0,0,23,0
452,108,28.4478598148148,-81.4011880833333,2,2,0,0,100,0,14,0
66,107,28.5454189345794,-81.4089562803738,3,1,0,0,0,0,9,0
201,107,28.512258491181,-81.3839844552149,2,1,0,0,100,0,9,0
231,107,28.5270593063179,-81.4005365241069,2,1,100,0,100,0,20,0
385,107,28.4514951308411,-81.4014640560748,2,2,0,0,0,0,13,0
35,105,28.5413530857143,-81.4066686571429,3,1,0,0,0,0,8,0
312,105,28.4430394569511,-81.4287445450369,2,1,100,0,100,0,15,100
467,105,28.5061401714286,-81.3886818380952,2,1,0,0,0,100,14,100
508,105,28.4543897309478,-81.4475828626089,2,1,0,0,100,0,21,100
11,104,28.51226625,-81.4008487596154,2,1,0,0,100,0,11,0
353,104,28.5057227403846,-81.4020957019231,2,1,100,0,100,0,4,0
424,104,28.5250136543113,-81.345754434331,2,1,0,0,100,0,11,100
425,104,28.4376555384615,-81.4046838173077,2,2,0,0,0,0,16,100
481,104,28.4501876153846,-81.4048323365385,2,2,0,0,0,0,17,0
513,104,28.4713455096154,-81.4070735192308,2,1,0,0,100,0,19,0
152,103,28.5162308639691,-81.3767224102622,2,1,100,0,100,0,20,100
625,103,28.5116601286642,-81.4498237403407,2,1,0,0,0,0,5,100
82,102,28.5147894826829,-81.4045753049708,2,1,0,0,100,0,12,0
